,order_number,order_date,ship_date,customer_name,channel,warehouse_code,suburb,product,order_quantity,city,unit_price,unit_cost,revenue
329,SO - 0006971,2017-02-17,2017-02-28,Pacific Ltd,Wholesale,AXW291,Matua,Product 2,10,Tauranga,132.66,71.6364,610.236
330,SO - 000111,2017-02-18,2017-03-06,Ohio ,Export,AXW291,Titirangi,Product 1,12,Waitakere,201.0,124.62,916.56
331,SO - 000267,2017-02-18,2017-02-22,"3LAB, Ltd",Wholesale,AXW291,Manurewa East,Product 13,6,Manukau,1005.0,502.5,3015.0
332,SO - 000838,2017-02-18,2017-02-28,"Elorac, Corp",Distributor,AXW291,Stewart Island,Product 11,8,Southland,1085.3999999999999,879.1740000000001,1649.8079999999982
333,SO - 0002259,2017-02-18,2017-03-04,WakeFern ,Wholesale,AXW291,South Hill,Product 11,12,Waitaki,1031.8,433.35599999999994,7181.3279999999995
334,SO - 0003714,2017-02-18,2017-03-06,OHTA'S Corp,Distributor,AXW291,Parahaki,Product 2,11,Whangarei,1192.6000000000001,536.6700000000001,7215.2300000000005
335,SO - 0003802,2017-02-18,2017-02-23,Burt's Corp,Wholesale,AXW291,Turangi,Product 2,9,Taupo,877.7,438.85,3949.65
336,SO - 0004306,2017-02-18,2017-02-23,"Apotheca, Ltd",Distributor,AXW291,Hunterville,Product 2,7,Rangitikei,2499.1,1024.6309999999999,10321.283
337,SO - 0004457,2017-02-18,2017-02-23,Pure Group,Distributor,AXW291,Matua,Product 1,6,Tauranga,1835.8,1413.566,2533.4039999999995
338,SO - 0004480,2017-02-18,2017-02-27,21st Ltd,Wholesale,AXW291,Rototuna,Product 7,7,Hamilton,2367.78,1752.1572,4309.359600000001
339,SO - 0004875,2017-02-18,2017-02-22,Victory Ltd,Wholesale,AXW291,Harewood,Product 7,11,Christchurch,171.52,84.0448,962.2272000000002
340,SO - 0006191,2017-02-18,2017-03-01,WakeFern ,Wholesale,AXW291,Otamatea,Product 6,9,Wanganui,1105.5,807.015,2686.3650000000002
341,SO - 0006976,2017-02-18,2017-02-22,Linde ,Wholesale,AXW291,Hataitai,Product 7,9,Wellington,3175.7999999999997,2000.754,10575.413999999999
342,SO - 0007439,2017-02-18,2017-03-08,Ei ,Distributor,AXW291,Otaki Beach,Product 8,5,Kapiti Coast,1938.1760000000002,1221.05088,3585.6256000000008
343,SO - 0007979,2017-02-18,2017-03-04,Winthrop ,Distributor,AXW291,Kingsland,Product 7,7,Auckland,6782.410000000001,4815.5111,13768.292300000008
344,SO - 000150,2017-02-19,2017-03-07,Pacific Ltd,Wholesale,AXW291,Harewood,Product 5,5,Christchurch,3638.1,1455.24,10914.3
345,SO - 0001059,2017-02-19,2017-03-07,"3LAB, Ltd",Wholesale,AXW291,Kawakawa,Product 1,11,Far North,206.025,152.45850000000002,589.2314999999999
346,SO - 0002017,2017-02-19,2017-02-23,Nipro ,Wholesale,AXW291,Kawakawa,Product 5,9,Far North,1031.8,412.72,5571.719999999999
347,SO - 0002995,2017-02-19,2017-02-24,"3LAB, Ltd",Distributor,AXW291,Tokoroa,Product 9,10,South Waikato,2381.649,1143.1915199999999,12384.5748
348,SO - 0005244,2017-02-19,2017-03-08,"Exact-Rx, Corp",Wholesale,AXW291,Takaro,Product 1,10,Palmerston North,623.1,442.40099999999995,1806.9900000000007
349,SO - 0006516,2017-02-19,2017-03-04,"PEDIFIX, Corp",Distributor,AXW291,Freemans Bay,Product 11,6,Auckland,1173.84,868.6416,1831.1903999999993
350,SO - 0006580,2017-02-19,2017-03-07,Mylan Corp,Distributor,AXW291,Ebdentown,Product 11,8,Upper Hutt,2881.0,2189.56,5531.52
351,SO - 0007195,2017-02-19,2017-03-09,Prasco Group,Export,AXW291,Eketahuna,Product 13,6,Tararua,518.58,435.60720000000003,497.83680000000004
352,SO - 0007423,2017-02-19,2017-02-24,Bare ,Distributor,AXW291,Napier South,Product 11,7,Napier,857.6,445.95200000000006,2881.5359999999996
353,SO - 0007613,2017-02-19,2017-03-09,OHTA'S Corp,Distributor,AXW291,Wanaka,Product 13,6,Queenstown-Lakes,329.64,187.89479999999998,850.4712000000001
354,SO - 0001321,2017-02-20,2017-03-10,"Apotheca, Ltd",Wholesale,AXW291,Port Taranaki,Product 5,6,New Plymouth,1447.2,1201.176,1476.1440000000007
355,SO - 0001660,2017-02-20,2017-03-10,Nipro ,Distributor,AXW291,Putaruru,Product 11,6,South Waikato,1058.6000000000001,719.8480000000002,2032.5119999999997
356,SO - 0006677,2017-02-20,2017-03-06,Eminence Corp,Wholesale,AXW291,Ebdentown,Product 1,9,Upper Hutt,574.86,419.6478,1396.9098
357,SO - 000343,2017-02-21,2017-03-07,Amylin Group,Wholesale,AXW291,Dannevirke,Product 1,11,Tararua,4090.7520000000004,3068.0640000000003,11249.568000000001
358,SO - 0003430,2017-02-21,2017-03-07,Burt's Corp,Wholesale,AXW291,Opaheke,Product 2,8,Papakura,1782.2,1354.472,3421.8240000000005
359,SO - 0005566,2017-02-21,2017-03-05,Avon Corp,Distributor,AXW291,Okitu,Product 10,8,Gisborne,174.20000000000002,142.844,250.84800000000018
360,SO - 0006014,2017-02-21,2017-03-01,Mylan Corp,Distributor,AXW291,Kingsland,Product 11,7,Auckland,108.54,52.099199999999996,395.08560000000006
361,SO - 0006954,2017-02-21,2017-03-05,Victory Ltd,Distributor,AXW291,Chartwell,Product 5,8,Hamilton,626.048,394.41024000000004,1853.1020799999997
362,SO - 0007510,2017-02-21,2017-03-07,Trigen ,Wholesale,AXW291,Dinsdale,Product 9,9,Hamilton,3035.1,1335.444,15296.903999999999
363,SO - 0001449,2017-02-22,2017-03-06,Apollo Ltd,Wholesale,AXW291,Aramoho,Product 13,6,Wanganui,6924.450000000001,5816.5380000000005,6647.472000000002
364,SO - 0001754,2017-02-22,2017-03-02,Nipro ,Distributor,AXW291,Harrowfield,Product 11,11,Hamilton,695.46,542.4588000000001,1683.0131999999992
365,SO - 0006578,2017-02-22,2017-02-28,Dharma Ltd,Wholesale,AXW291,Regent,Product 9,10,Whangarei,1072.0,761.12,3108.8
366,SO - 0007992,2017-02-22,2017-03-05,Eminence Corp,Export,AXW291,Caversham,Product 8,12,Dunedin,1269.248,1002.7059200000001,3198.5049599999993
367,SO - 0008012,2017-02-22,2017-03-02,Ascend Ltd,Distributor,AXW291,Dannemora,Product 6,8,Manukau,1081.3799999999999,670.4555999999999,3287.3952
368,SO - 0008043,2017-02-22,2017-02-28,Prasco Group,Wholesale,AXW291,Hataitai,Product 2,8,Wellington,171.52,90.90560000000002,644.9151999999999
369,SO - 000548,2017-02-23,2017-02-26,Uriel Group,Wholesale,AXW291,Henderson,Product 1,10,Waitakere,207.70000000000002,135.00500000000002,726.9499999999999
370,SO - 0001615,2017-02-23,2017-03-04,Niconovum Corp,Wholesale,AXW291,Raglan,Product 5,9,Waikato,2146.68,858.672,11592.071999999998
371,SO - 0001911,2017-02-23,2017-03-05,"Exact-Rx, Corp",Distributor,AXW291,New Lynn,Product 13,5,Waitakere,2579.5,1625.085,4772.075
372,SO - 0002751,2017-02-23,2017-02-27,Avon Corp,Wholesale,AXW291,Regent,Product 5,7,Whangarei,944.7,547.926,2777.418
373,SO - 0003993,2017-02-23,2017-03-03,Ole Group,Wholesale,AXW291,Highbury,Product 11,12,Palmerston North,3825.7000000000003,2907.532,11018.016000000001
374,SO - 0005438,2017-02-23,2017-03-01,AuroMedics Corp,Distributor,AXW291,Chartwell,Product 5,6,Hamilton,944.7,699.078,1473.7320000000004
375,SO - 0007902,2017-02-23,2017-03-11,AuroMedics Corp,Distributor,AXW291,Dannemora,Product 5,10,Manukau,3179.8199999999997,2066.883,11129.369999999999
376,SO - 000402,2017-02-24,2017-03-01,"Exact-Rx, Corp",Distributor,AXW291,Harewood,Product 1,7,Christchurch,3993.2000000000003,3234.4920000000006,5310.955999999997
377,SO - 0001117,2017-02-24,2017-03-04,Apollo Ltd,Wholesale,AXW291,Opaheke,Product 7,12,Papakura,3953.0,2964.75,11859.0
378,SO - 0002341,2017-02-24,2017-03-02,Ascend Ltd,Distributor,AXW291,Dannevirke,Product 9,8,Tararua,136.68,62.872800000000005,590.4576
379,SO - 0005020,2017-02-24,2017-03-03,Ohio ,Distributor,AXW291,Dannemora,Product 11,8,Manukau,884.4,548.328,2688.576
380,SO - 0005107,2017-02-24,2017-03-09,New Ltd,Distributor,AXW291,Dannemora,Product 8,10,Manukau,1107.912,531.79776,5761.1424
381,SO - 0005318,2017-02-24,2017-03-03,Ei ,Distributor,AXW291,Matua,Product 1,6,Tauranga,651.24,267.0084,2305.3896
382,SO - 0006061,2017-02-24,2017-03-13,New Ltd,Wholesale,AXW291,Oamaru North,Product 2,7,Waitaki,2461.3120000000004,1772.1446400000002,4824.171520000001
383,SO - 0006479,2017-02-24,2017-03-06,"Fenwal, Corp",Distributor,AXW291,Hillsborough,Product 13,11,Auckland,160.79999999999998,67.536,1025.9039999999998
384,SO - 0007959,2017-02-24,2017-03-08,"Fenwal, Corp",Export,AXW291,Napier South,Product 8,6,Napier,2378.5,1522.24,5137.5599999999995
385,SO - 0001024,2017-02-25,2017-03-02,Select ,Wholesale,AXW291,Otamatea,Product 2,12,Wanganui,3530.9,2577.557,11440.116000000004
386,SO - 0001772,2017-02-25,2017-03-02,OHTA'S Corp,Wholesale,AXW291,Brightwater,Product 5,10,Tasman,671.34,302.103,3692.3700000000003
387,SO - 0003067,2017-02-25,2017-03-09,"Elorac, Corp",Wholesale,AXW291,Opaheke,Product 7,6,Papakura,664.64,299.088,2193.312
388,SO - 0004773,2017-02-25,2017-03-12,OUR Ltd,Distributor,AXW291,Ranfurly,Product 5,8,Central Otago,1862.6000000000001,1229.3160000000003,5066.271999999999
389,SO - 0006192,2017-02-25,2017-03-14,Dharma Ltd,Export,AXW291,Henderson,Product 13,7,Waitakere,1475.34,619.6428,5989.8804
390,SO - 0008005,2017-02-25,2017-03-14,"Apotheca, Ltd",Distributor,AXW291,Saint Kilda,Product 7,11,Dunedin,1708.5,837.1649999999998,9584.685000000001
391,SO - 0001121,2017-02-26,2017-03-15,Uriel Group,Distributor,AXW291,Highbury,Product 1,6,Palmerston North,3670.26,2605.8846,6386.252400000002
392,SO - 0001160,2017-02-26,2017-03-09,Weimei Corp,Distributor,AXW291,Parahaki,Product 3,5,Whangarei,2291.4,1833.1200000000001,2291.3999999999996
393,SO - 0002442,2017-02-26,2017-03-05,Eminence Corp,Distributor,AXW291,Te Aroha,Product 2,9,Matamata-Piako,2834.904,2381.31936,4082.2617600000003
394,SO - 0002809,2017-02-26,2017-03-07,"Fenwal, Corp",Wholesale,AXW291,Eketahuna,Product 13,6,Tararua,1809.0,922.59,5318.46
395,SO - 0003361,2017-02-26,2017-03-11,Sundial ,Export,AXW291,South Hill,Product 7,12,Waitaki,4190.18,3435.9475999999995,9050.78880000001
396,SO - 0004793,2017-02-26,2017-03-02,Apollo Ltd,Distributor,AXW291,Favona,Product 1,12,Manukau,2208.588,1104.294,13251.528000000002
397,SO - 0006871,2017-02-26,2017-03-08,Prasco Group,Wholesale,AXW291,Cashmere,Product 12,10,Christchurch,724.672,442.04992,2826.2208000000005
398,SO - 0007359,2017-02-26,2017-03-05,Llorens Ltd,Wholesale,AXW291,Dannemora,Product 1,9,Manukau,1788.096,1305.31008,4345.0732800000005
399,SO - 000123,2017-02-27,2017-03-05,Select ,Distributor,AXW291,Rototuna,Product 13,6,Hamilton,4895.154,3769.2685800000004,6755.31252
400,SO - 000886,2017-02-27,2017-03-03,Medsep Group,Distributor,AXW291,Onekawa Industrial,Product 11,10,Napier,731.64,570.6792,1609.6079999999995
401,SO - 0001382,2017-02-27,2017-03-02,Victory Ltd,Distributor,AXW291,Titirangi,Product 7,6,Waitakere,3899.4,2417.628,8890.632
402,SO - 0001815,2017-02-27,2017-03-14,Medsep Group,Wholesale,AXW291,Okitu,Product 1,9,Gisborne,1384.488,1010.6762400000001,3364.3058399999995
403,SO - 0002426,2017-02-27,2017-03-06,Ohio ,Distributor,AXW291,Harrowfield,Product 11,11,Hamilton,329.64,280.19399999999996,543.9060000000003
404,SO - 0003625,2017-02-27,2017-03-07,"Apotheca, Ltd",Wholesale,AXW291,Hunterville,Product 7,10,Rangitikei,623.1,504.711,1183.89
405,SO - 0005271,2017-02-27,2017-03-06,Winthrop ,Wholesale,AXW291,Whangamata,Product 7,11,Thames-Coromandel,1089.152,816.8639999999999,2995.1680000000015
406,SO - 0007894,2017-02-27,2017-03-09,"Apotheca, Ltd",Distributor,AXW291,Brightwater,Product 7,9,Tasman,675.36,520.0272,1397.9952000000003
407,SO - 000664,2017-02-28,2017-03-06,Llorens Ltd,Wholesale,AXW291,Titirangi,Product 9,10,Waitakere,1118.9,727.2850000000001,3916.15
408,SO - 000888,2017-02-28,2017-03-04,Sundial ,Wholesale,AXW291,Farm Cove,Product 7,11,Manukau,104.52000000000001,48.0792,620.8488000000001
409,SO - 0001586,2017-02-28,2017-03-18,"Exact-Rx, Corp",Distributor,AXW291,Thames,Product 12,11,Thames-Coromandel,3912.8,3091.112,9038.568000000001
410,SO - 0001617,2017-02-28,2017-03-13,ETUDE Ltd,Wholesale,AXW291,Northcote,Product 3,8,North Shore,148.74,59.496,713.952
411,SO - 0001623,2017-02-28,2017-03-03,Ohio ,Export,AXW291,Henderson,Product 2,12,Waitakere,3353.2160000000003,1676.6080000000002,20119.296000000002
412,SO - 0002188,2017-02-28,2017-03-17,Ole Group,Wholesale,AXW291,Freemans Bay,Product 9,11,Auckland,238.989,155.34285000000003,920.1076499999997
413,SO - 0005900,2017-02-28,2017-03-09,Procter Corp,Distributor,AXW291,Sandringham,Product 11,6,Auckland,3561.72,1709.6255999999998,11112.5664
414,SO - 0006610,2017-02-28,2017-03-13,Mylan Corp,Wholesale,AXW291,Timaru Central,Product 5,10,Timaru,1105.5,795.9599999999999,3095.4000000000005
415,SO - 0006656,2017-02-28,2017-03-08,Qualitest ,Wholesale,AXW291,Dannemora,Product 12,8,Manukau,506.52,384.95520000000005,972.5183999999995
416,SO - 0007202,2017-02-28,2017-03-18,Qualitest ,Wholesale,AXW291,Ranfurly,Product 11,9,Central Otago,546.72,349.9008,1771.3728
417,SO - 0007723,2017-02-28,2017-03-06,Sundial ,Wholesale,AXW291,Henderson,Product 13,8,Waitakere,1712.5200000000002,1027.5120000000002,5480.064
418,SO - 000196,2017-03-01,2017-03-18,Procter Corp,Export,AXW291,Tokoroa,Product 7,9,South Waikato,112.55999999999999,86.6712,232.99919999999992
419,SO - 0001376,2017-03-01,2017-03-16,Pacific Ltd,Wholesale,AXW291,Algies Bay,Product 7,12,Rodney,3939.6,1575.8400000000001,28365.119999999995
420,SO - 0002265,2017-03-01,2017-03-18,Trigen ,Wholesale,AXW291,Nightcaps,Product 7,11,Southland,690.368,338.28032,3872.9644800000005
421,SO - 0002393,2017-03-01,2017-03-09,U.S. Ltd,Distributor,AXW291,Harrowfield,Product 11,7,Hamilton,1398.9599999999998,1105.1784,2056.4711999999986
422,SO - 0002828,2017-03-01,2017-03-10,Avon Corp,Wholesale,AXW291,Matua,Product 7,9,Tauranga,1956.4,860.816,9860.256000000001
423,SO - 0004011,2017-03-01,2017-03-15,Ole Group,Wholesale,AXW291,Thames,Product 7,6,Thames-Coromandel,530.64,413.8992,700.4447999999999
424,SO - 0004209,2017-03-01,2017-03-09,Winthrop ,Wholesale,AXW291,Ngatea,Product 5,10,Hauraki,2495.616,1871.7120000000002,6239.039999999997
425,SO - 0004220,2017-03-01,2017-03-10,Trigen ,Export,AXW291,Turangi,Product 2,7,Taupo,2673.3,1122.786,10853.598000000002
426,SO - 0004964,2017-03-01,2017-03-12,Procter Corp,Export,AXW291,Otamatea,Product 13,5,Wanganui,3944.96,2643.1232,6509.184
427,SO - 0005255,2017-03-01,2017-03-13,Ole Group,Wholesale,AXW291,Pukekohe,Product 1,5,Franklin,1929.6000000000001,1485.7920000000001,2219.04
428,SO - 0005579,2017-03-01,2017-03-10,Niconovum Corp,Distributor,AXW291,Frimley,Product 7,7,Hastings,677.5040000000001,575.8784,711.3792000000005
429,SO - 0006912,2017-03-01,2017-03-10,Avon Corp,Distributor,AXW291,Kawakawa,Product 5,10,Far North,3999.9,3359.916,6399.839999999999
430,SO - 0007733,2017-03-01,2017-03-16,Ei ,Distributor,AXW291,Northcote,Product 2,10,North Shore,2045.3760000000002,1268.1331200000002,7772.4288
431,SO - 0007854,2017-03-01,2017-03-19,Weimei Corp,Distributor,AXW291,Henderson,Product 7,6,Waitakere,3115.5,1900.455,7290.27
432,SO - 0007878,2017-03-01,2017-03-12,Nipro ,Export,AXW291,Whitianga,Product 1,12,Thames-Coromandel,3426.112,2055.6672,16445.337600000003
433,SO - 0008070,2017-03-01,2017-03-08,O.E. Ltd,Distributor,AXW291,Aramoho,Product 2,8,Wanganui,1378.86,592.9098,6287.601599999999
434,SO - 000118,2017-03-02,2017-03-09,S.S.S. Group,Export,AXW291,Kingsland,Product 13,12,Auckland,590.9399999999999,236.376,4254.768
435,SO - 0001044,2017-03-02,2017-03-17,Victory Ltd,Distributor,AXW291,Tapanui,Product 1,9,Clutha,3163.7400000000002,1803.3318,12243.673800000002
436,SO - 0001157,2017-03-02,2017-03-11,Ei ,Export,AXW291,Barrington,Product 7,12,Christchurch,1342.68,671.34,8056.08
437,SO - 0001307,2017-03-02,2017-03-13,Trigen ,Export,AXW291,Ngapuna,Product 9,12,Rotorua,6371.7,4460.19,22938.120000000003
438,SO - 0002403,2017-03-02,2017-03-15,Prasco Group,Distributor,AXW291,Cambridge,Product 14,12,Waipa,884.4,619.0799999999999,3183.8400000000006
439,SO - 0003810,2017-03-02,2017-03-18,Medsep Group,Wholesale,AXW291,Brightwater,Product 1,12,Tasman,3946.3,1617.983,27939.804
440,SO - 0004704,2017-03-02,2017-03-18,WakeFern ,Distributor,AXW291,Brightwater,Product 5,8,Tasman,1212.7,933.7790000000001,2231.3679999999995
441,SO - 0005994,2017-03-02,2017-03-09,Mylan Corp,Wholesale,AXW291,Putaruru,Product 7,9,South Waikato,1192.064,1001.3337600000001,1716.5721599999997
442,SO - 0006121,2017-03-02,2017-03-08,Pacific Ltd,Distributor,AXW291,Chartwell,Product 2,10,Hamilton,623.1,342.70500000000004,2803.95
443,SO - 0007579,2017-03-02,2017-03-20,Prasco Group,Wholesale,AXW291,Takaro,Product 11,12,Palmerston North,558.78,391.14599999999996,2011.6080000000002
444,SO - 000821,2017-03-03,2017-03-20,Apollo Ltd,Distributor,AXW291,Hillsborough,Product 7,9,Auckland,148.74,90.7314,522.0774000000001
445,SO - 000962,2017-03-03,2017-03-17,Burt's Corp,Wholesale,AXW291,Sandringham,Product 2,9,Auckland,502.5,386.925,1040.175
446,SO - 0001352,2017-03-03,2017-03-14,Ei ,Wholesale,AXW291,Chartwell,Product 5,11,Hamilton,2117.937,974.25102,12580.545779999997
447,SO - 0004064,2017-03-03,2017-03-12,"3LAB, Ltd",Distributor,AXW291,Hamilton East,Product 2,8,Hamilton,3935.58,2479.4154000000003,11649.316799999997
448,SO - 0004341,2017-03-03,2017-03-16,"Apotheca, Ltd",Distributor,AXW291,Taupo,Product 1,6,Taupo,2551.36,1990.0608000000002,3367.7951999999996
449,SO - 0005931,2017-03-03,2017-03-11,Pure Group,Wholesale,AXW291,Brightwater,Product 9,11,Tasman,683.4,560.3879999999999,1353.1320000000005
450,SO - 0002182,2017-03-04,2017-03-13,Medline ,Distributor,AXW291,Palmerston North,Product 1,6,Palmerston North,615.0600000000001,338.2830000000001,1660.6619999999998
451,SO - 0003242,2017-03-04,2017-03-17,Select ,Wholesale,AXW291,Hataitai,Product 11,7,Wellington,1809.536,1140.0076800000002,4686.69824
452,SO - 0004195,2017-03-04,2017-03-18,Ohio ,Distributor,AXW291,Northcote,Product 4,10,North Shore,4225.6900000000005,2873.4692000000005,13522.208
453,SO - 0006316,2017-03-04,2017-03-10,Capweld ,Wholesale,AXW291,Dannemora,Product 1,6,Manukau,791.94,593.955,1187.91
454,SO - 0007023,2017-03-04,2017-03-14,OUR Ltd,Distributor,AXW291,Port Taranaki,Product 7,12,New Plymouth,671.34,375.9504,3544.6752000000006
455,SO - 000627,2017-03-05,2017-03-17,Trigen ,Wholesale,AXW291,Ngapuna,Product 1,6,Rotorua,124.62,81.00300000000001,261.70199999999994
456,SO - 0001070,2017-03-05,2017-03-17,Linde ,Distributor,AXW291,Raglan,Product 11,5,Waikato,3932.9,2910.346,5112.77
457,SO - 0001149,2017-03-05,2017-03-14,Victory Ltd,Distributor,AXW291,Kawakawa,Product 1,12,Far North,1150.5240000000001,805.3668,4141.886400000001
458,SO - 0001151,2017-03-05,2017-03-13,ETUDE Ltd,Wholesale,AXW291,Tokoroa,Product 11,10,South Waikato,2907.8,2180.8500000000004,7269.499999999998
459,SO - 0002405,2017-03-05,2017-03-23,E. Ltd,Wholesale,AXW291,Titirangi,Product 2,7,Waitakere,578.88,416.7936,1134.6047999999998
460,SO - 0003950,2017-03-05,2017-03-22,"Exact-Rx, Corp",Wholesale,AXW291,Nightcaps,Product 4,12,Southland,586.92,316.9368,3239.7983999999997
461,SO - 0005004,2017-03-05,2017-03-10,"PEDIFIX, Corp",Wholesale,AXW291,Kingsland,Product 7,11,Auckland,3461.22,2734.3638,7995.418199999996
462,SO - 0005738,2017-03-05,2017-03-15,Select ,Export,AXW291,Titirangi,Product 11,8,Waitakere,3049.17,2134.419,7318.008000000002
463,SO - 0005956,2017-03-05,2017-03-17,Ohio ,Distributor,AXW291,Henderson,Product 2,7,Waitakere,4788.021000000001,3016.4532300000005,12400.974390000001
464,SO - 0006325,2017-03-05,2017-03-15,Capweld ,Export,AXW291,Algies Bay,Product 6,5,Rodney,1963.1000000000001,1138.598,4122.510000000001
465,SO - 0006383,2017-03-05,2017-03-08,Pure Group,Wholesale,AXW291,Riverside,Product 2,12,Whangarei,2659.9,2207.717,5426.196
466,SO - 0006760,2017-03-05,2017-03-20,Procter Corp,Wholesale,AXW291,Oamaru North,Product 7,9,Waitaki,1981.056,891.4752000000001,9806.2272
467,SO - 0008001,2017-03-05,2017-03-17,Apollo Ltd,Wholesale,AXW291,Barrington,Product 7,11,Christchurch,100.5,43.215,630.135
468,SO - 000639,2017-03-06,2017-03-15,Weimei Corp,Distributor,AXW291,Dinsdale,Product 7,11,Hamilton,1269.114,621.86586,7119.72954
469,SO - 000933,2017-03-06,2017-03-12,Apollo Ltd,Wholesale,AXW291,Riverside,Product 11,10,Whangarei,2659.9,1117.158,15427.420000000002
470,SO - 0002131,2017-03-06,2017-03-09,Victory Ltd,Distributor,AXW291,Ngapuna,Product 2,11,Rotorua,1260.873,945.65475,3467.4007500000002
471,SO - 0003314,2017-03-06,2017-03-09,Uriel Group,Distributor,AXW291,Te Atatu Peninsula,Product 9,12,Waitakere,2403.96,1274.0988,13558.3344
472,SO - 0004593,2017-03-06,2017-03-10,"PEDIFIX, Corp",Wholesale,AXW291,Matua,Product 11,5,Tauranga,964.197,433.88865,2651.5417500000003
473,SO - 0007870,2017-03-06,2017-03-12,Sundial ,Distributor,AXW291,Port Taranaki,Product 3,6,New Plymouth,115.77600000000001,78.72768,222.28992000000002
474,SO - 0007917,2017-03-06,2017-03-19,Weimei Corp,Wholesale,AXW291,Eketahuna,Product 5,6,Tararua,2339.64,1684.5407999999998,3930.5952000000007
475,SO - 000199,2017-03-07,2017-03-11,Niconovum Corp,Wholesale,AXW291,Port Taranaki,Product 13,11,New Plymouth,771.84,540.288,2547.072
476,SO - 000712,2017-03-07,2017-03-13,Dharma Ltd,Wholesale,AXW291,Pukekohe,Product 9,5,Franklin,502.5,276.375,1130.625
477,SO - 0002113,2017-03-07,2017-03-20,Prasco Group,Wholesale,AXW291,Saint Kilda,Product 3,8,Dunedin,1065.3,575.2620000000001,3920.303999999999
478,SO - 0007244,2017-03-07,2017-03-25,Eminence Corp,Wholesale,AXW291,Port Taranaki,Product 11,11,New Plymouth,1117.56,447.02400000000006,7375.895999999998
479,SO - 000336,2017-03-08,2017-03-19,New Ltd,Distributor,AXW291,Caversham,Product 7,8,Dunedin,3827.04,1683.8976,17145.139199999998
480,SO - 0002090,2017-03-08,2017-03-16,OHTA'S Corp,Wholesale,AXW291,Waimate,Product 9,8,Waimate,1018.4,712.88,2444.16
481,SO - 0003383,2017-03-08,2017-03-24,Ohio ,Distributor,AXW291,Otaki Beach,Product 1,6,Kapiti Coast,4006.6,2604.29,8413.86
482,SO - 0005868,2017-03-08,2017-03-21,Llorens Ltd,Distributor,AXW291,Redwood,Product 13,9,Christchurch,2994.9,2126.379,7816.689000000002
483,SO - 0006823,2017-03-08,2017-03-19,Ole Group,Wholesale,AXW291,Otamatea,Product 9,5,Wanganui,1085.4,911.736,868.3200000000005
484,SO - 0002060,2017-03-09,2017-03-25,Weimei Corp,Wholesale,AXW291,Ebdentown,Product 7,11,Upper Hutt,1212.7,715.4929999999999,5469.277000000001
485,SO - 0002994,2017-03-09,2017-03-27,Medsep Group,Distributor,AXW291,Tapanui,Product 2,9,Clutha,1392.7289999999998,905.27385,4387.096349999998
486,SO - 0006176,2017-03-09,2017-03-26,"Apotheca, Ltd",Wholesale,AXW291,Highbury,Product 11,12,Palmerston North,2452.2000000000003,1642.9740000000004,9710.712
487,SO - 0007406,2017-03-09,2017-03-21,Medsep Group,Wholesale,AXW291,Timaru Central,Product 3,10,Timaru,1025.1,604.809,4202.91
488,SO - 000943,2017-03-10,2017-03-13,Select ,Export,AXW291,Tokoroa,Product 1,7,South Waikato,3750.66,2963.0214,5513.470199999998
489,SO - 0001667,2017-03-10,2017-03-24,"Exact-Rx, Corp",Export,AXW291,Ranfurly,Product 2,6,Central Otago,6344.900000000001,2918.6540000000005,20557.476000000002
490,SO - 0001969,2017-03-10,2017-03-13,Select ,Export,AXW291,Timaru Central,Product 10,6,Timaru,2586.2000000000003,1034.4800000000002,9310.32
491,SO - 0002551,2017-03-10,2017-03-23,"PEDIFIX, Corp",Export,AXW291,Putaruru,Product 11,11,South Waikato,3859.2000000000003,1929.6000000000001,21225.600000000002
492,SO - 0004331,2017-03-10,2017-03-20,Sundial ,Wholesale,AXW291,Nightcaps,Product 7,7,Southland,663.3,351.54900000000004,2182.2569999999996
493,SO - 0006021,2017-03-10,2017-03-26,Amylin Group,Distributor,AXW291,Riverside,Product 1,11,Whangarei,578.88,329.9616,2738.1024
494,SO - 0006344,2017-03-10,2017-03-18,21st Ltd,Distributor,AXW291,Raglan,Product 2,11,Waikato,1612.2880000000002,1273.7075200000002,3724.385280000001
495,SO - 0006470,2017-03-10,2017-03-20,Wuxi Group,Export,AXW291,Cashmere,Product 14,9,Christchurch,1051.9,820.4820000000001,2082.762
496,SO - 0006491,2017-03-10,2017-03-14,"Apotheca, Ltd",Wholesale,AXW291,Otamatea,Product 11,12,Wanganui,574.5920000000001,367.73888000000005,2482.237440000001
497,SO - 0007671,2017-03-10,2017-03-23,"3LAB, Ltd",Wholesale,AXW291,Georgetown,Product 2,7,Invercargill,1535.64,614.2560000000001,6449.688
498,SO - 0007824,2017-03-10,2017-03-27,"Fenwal, Corp",Distributor,AXW291,Grafton,Product 11,9,Auckland,132.66,94.1886,346.24260000000004
499,SO - 000394,2017-03-11,2017-03-28,Pure Group,Distributor,AXW291,Farm Cove,Product 13,6,Manukau,683.4,560.3879999999999,738.0720000000003
500,SO - 0001995,2017-03-11,2017-03-28,Qualitest ,Distributor,AXW291,Aramoho,Product 9,5,Wanganui,1710.9120000000003,769.9104000000001,4705.008000000001
501,SO - 0002280,2017-03-11,2017-03-22,Victory Ltd,Wholesale,AXW291,Timberlea,Product 1,11,Upper Hutt,3959.7000000000003,1861.059,23085.051000000007
